method,precision@5,recall@5,lift@5,ndcg@5,precision@10,recall@10,lift@10,ndcg@10,precision@20,recall@20,lift@20,ndcg@20,precision@50,recall@50,lift@50,ndcg@50
random,0.20000000000000004,0.01158638225116199,0.6943739800965846,0.1787822802686668,0.26666666666666666,0.03115362095241201,0.9402363485209942,0.23218029185191807,0.24999999999999997,0.0583464069806163,0.8750957108330667,0.23208767718506632,0.26800000000000007,0.1605452530107878,0.9586918887235921,0.25452762602402446
popularity,0.32,0.01945948779391053,1.1697560187344727,0.3271446631741416,0.32,0.03824636388423343,1.1510516049315898,0.32416420170692367,0.31666666666666665,0.07520994396590602,1.1326851553325892,0.3201610201442733,0.32266666666666666,0.19244528373391603,1.152417897867888,0.3231446572371178
model,0.41333333333333344,0.02475085050020281,1.4754030592871759,0.40479570953895055,0.4799999999999999,0.057281596470616696,1.7064296272415516,0.4557455650364038,0.48999999999999994,0.11735159923559574,1.7521683187275439,0.4713915779020929,0.456,0.27316456033626674,1.634217733677606,0.4542220869083925
